study,sample,Human-Infecting Viruses,DNA Viruses,RNA Viruses,Viruses
Brinch 2020,ERR3562849,3.3881008542757496e-06,0.0029107658453490716,1.4520432232610354e-07,0.0029117822756053544
Brinch 2020,ERR3562850,2.4205402305889026e-06,0.001744230989991169,5.150085596997665e-07,0.0017462395233739983
Brinch 2020,ERR3562851,2.506020512182089e-06,0.0013139631420970219,5.658755995249879e-07,0.001316145805123761
Brinch 2020,ERR3562852,4.9428791729296305e-06,0.003930943657511636,6.590505563906174e-07,0.0039328109674214105
Brinch 2020,ERR3562853,6.71887485975141e-06,0.003028818078286428,3.803136713066836e-07,0.0030312901171499216
Brinch 2020,ERR3562854,5.087897571865961e-06,0.0029438811997215147,3.549695980371601e-07,0.0029464251485074476
Brinch 2020,ERR3562855,6.436663233779609e-06,0.0040454428424304845,0.0,0.004048661174047374
Brinch 2020,ERR3562856,2.1752347350183428e-06,0.004461406441522621,0.0,0.004461406441522621
Brinch 2020,ERR3562857,1.1974441751525545e-06,0.006003985094214908,1.1974441751525545e-06,0.006006379982565212
Brinch 2020,ERR3562858,0.0,0.003561810262077087,0.0,0.0035638834927302168
Brinch 2020,ERR3562859,1.3083473871648505e-06,0.005421791572411141,0.0,0.005425716614572635
Brinch 2020,ERR3562860,4.362573482097089e-06,0.0034494868522941687,1.3087720446291266e-06,0.003452540653731636
Brinch 2020,ERR3562861,5.50372439452801e-06,0.0033774175888231887,4.1537542600211396e-07,0.003378940632051863
Brinch 2020,ERR3562862,4.766010055447165e-06,0.0039290986897106426,3.574507541585374e-07,0.003931243394235594
Brinch 2020,ERR3562863,2.994639755265205e-06,0.003292392508074431,2.6737854957725045e-07,0.0032939433036619794
Brinch 2020,ERR3562864,5.942078990828995e-06,0.004172775453984739,4.951732492357496e-07,0.004175003733606299
Brinch 2020,ERR3562865,4.7917604513475726e-06,0.003407589216104252,6.907042092032537e-07,0.003410913230111043
Brinch 2020,ERR3562866,2.760632594600159e-06,0.0027955037431635294,1.452964523473768e-07,0.002797937458740348
Brinch 2020,ERR3562867,5.387597446539501e-06,0.0032040563394968463,8.689673300870162e-08,0.0032060549643560463
Brinch 2020,ERR3562868,3.6296191440632136e-06,0.0020133747710680302,1.2515928082976597e-07,0.0020158153770442108
Brinch 2020,ERR3562869,3.437341166193612e-06,0.002475710601539287,4.583121554924816e-07,0.0024774521877301585
Brinch 2020,ERR3562870,1.4359750635198046e-06,0.001346281851859952,6.075279114891481e-07,0.0013492642616072625
Brinch 2020,ERR3562871,1.6609447121333673e-06,0.00244158872683605,1.6609447121333673e-06,0.0024449106162603164
Brinch 2020,ERR3562872,3.2668528772806716e-06,0.005574884435079466,0.0,0.005574884435079466
Brinch 2020,ERR3562873,3.0642371351834177e-06,0.004596355702775126,0.0,0.004596355702775126
Brinch 2020,ERR3562874,1.146594677507507e-05,0.004546884893360324,0.0,0.004549432881532564
Brinch 2020,ERR3562875,1.7295103467956496e-05,0.004790023031312785,7.206293111648541e-07,0.0047921849192462795
Brinch 2020,ERR3562876,2.46553034482291e-06,0.0028156356537877634,0.0,0.002817484801546381
Brinch 2020,ERR3562877,0.0,0.0024582967515364355,0.0,0.0024582967515364355
Brinch 2020,ERR3562878,4.8069219676333924e-05,0.0022272071783368047,0.0,0.002227207178336805
Brinch 2020,ERR3562879,1.254295963675589e-05,0.0009156360534831799,0.0,0.0009156360534831799
